"Scientific.name","site_id","date_time","date","start_time","end_time","Common.name","Confidence","site_time","hab","sp_code","site_date"
"Ardea alba","HH02","2022-05-20 07:10:00","5/20/2022","2022-05-20 07:12:00","5/20/2022 11:12","Great Egret",0.5699,"HH02_5/20/2022 11:10","wetland","GREG","HH02_2022-05-20 07:10:00"
"Ardea herodias","HH17","2022-06-16 11:25:00","6/16/2022","2022-06-16 07:25:00","6/16/2022 11:28","Great Blue Heron",0.8949,"HH17_6/16/2022 11:20","wetland","GBHE","HH17_2022-06-16 11:25:00"
"Ardea herodias","UP04","2022-05-17 11:50:00","5/17/2022","2022-05-17 07:50:00","5/17/2022 11:52","Great Blue Heron",0.751,"UP04_5/17/2022 11:50","upland","GBHE","UP04_2022-05-17 11:50:00"
"Baeolophus bicolor","HH02","2022-05-17 07:40:00","5/17/2022","2022-05-17 07:44:00","5/17/2022 11:44","Tufted Titmouse",0.8081,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:40:00"
"Baeolophus bicolor","HH02","2022-05-17 07:45:00","5/17/2022","2022-05-17 07:45:00","5/17/2022 11:45","Tufted Titmouse",0.7535,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:45:00"
"Baeolophus bicolor","HH02","2022-05-17 07:40:00","5/17/2022","2022-05-17 07:44:00","5/17/2022 11:44","Tufted Titmouse",0.7937,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:40:00"
"Baeolophus bicolor","HH02","2022-05-17 07:45:00","5/17/2022","2022-05-17 07:45:00","5/17/2022 11:45","Tufted Titmouse",0.7898,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:45:00"
"Baeolophus bicolor","SP09","2022-05-17 07:50:00","5/17/2022","2022-05-17 07:51:00","5/17/2022 11:51","Tufted Titmouse",0.6041,"SP09_5/17/2022 11:50","wetland","TUTI","SP09_2022-05-17 07:50:00"
"Baeolophus bicolor","HH02","2022-05-17 07:40:00","5/17/2022","2022-05-17 07:44:00","5/17/2022 11:45","Tufted Titmouse",0.8511,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:40:00"
"Baeolophus bicolor","HH05","2022-05-18 07:05:00","5/18/2022","2022-05-18 07:08:00","5/18/2022 11:08","Tufted Titmouse",0.5409,"HH05_5/18/2022 11:00","wetland","TUTI","HH05_2022-05-18 07:05:00"
"Baeolophus bicolor","HH05","2022-05-18 07:05:00","5/18/2022","2022-05-18 07:09:00","5/18/2022 11:09","Tufted Titmouse",0.5036,"HH05_5/18/2022 11:00","wetland","TUTI","HH05_2022-05-18 07:05:00"
"Baeolophus bicolor","HH02","2022-05-17 07:40:00","5/17/2022","2022-05-17 07:44:00","5/17/2022 11:44","Tufted Titmouse",0.762,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:40:00"
"Baeolophus bicolor","HH02","2022-05-17 07:40:00","5/17/2022","2022-05-17 07:44:00","5/17/2022 11:44","Tufted Titmouse",0.6971,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:40:00"
"Baeolophus bicolor","HH01","2022-05-17 07:15:00","5/17/2022","2022-05-17 07:18:00","5/17/2022 11:18","Tufted Titmouse",0.7142,"HH01_5/17/2022 11:10","wetland","TUTI","HH01_2022-05-17 07:15:00"
"Baeolophus bicolor","HH14","2022-06-17 11:40:00","6/17/2022","2022-06-17 07:40:00","6/17/2022 11:40","Tufted Titmouse",0.55,"HH14_6/17/2022 11:40","wetland","TUTI","HH14_2022-06-17 11:40:00"
"Baeolophus bicolor","HH14","2022-06-17 11:40:00","6/17/2022","2022-06-17 07:40:00","6/17/2022 11:40","Tufted Titmouse",0.5428,"HH14_6/17/2022 11:40","wetland","TUTI","HH14_2022-06-17 11:40:00"
"Baeolophus bicolor","HH04","2022-05-18 07:20:00","5/18/2022","2022-05-18 07:21:00","5/18/2022 11:21","Tufted Titmouse",0.6463,"HH04_5/18/2022 11:20","wetland","TUTI","HH04_2022-05-18 07:20:00"
"Baeolophus bicolor","SP09","2022-05-17 07:50:00","5/17/2022","2022-05-17 07:52:00","5/17/2022 11:52","Tufted Titmouse",0.675,"SP09_5/17/2022 11:50","wetland","TUTI","SP09_2022-05-17 07:50:00"
"Baeolophus bicolor","HH04","2022-05-19 07:50:00","5/19/2022","2022-05-19 07:50:00","5/19/2022 11:50","Tufted Titmouse",0.7655,"HH04_5/19/2022 11:50","wetland","TUTI","HH04_2022-05-19 07:50:00"
"Baeolophus bicolor","SP09","2022-05-17 07:50:00","5/17/2022","2022-05-17 07:52:00","5/17/2022 11:52","Tufted Titmouse",0.6415,"SP09_5/17/2022 11:50","wetland","TUTI","SP09_2022-05-17 07:50:00"
"Baeolophus bicolor","HH46","2022-06-01 11:50:00","6/1/2022","2022-06-01 07:50:00","6/1/2022 11:54","Tufted Titmouse",0.7498,"HH46_6/1/2022 11:50","wetland","TUTI","HH46_2022-06-01 11:50:00"
"Baeolophus bicolor","HH02","2022-05-17 07:40:00","5/17/2022","2022-05-17 07:44:00","5/17/2022 11:44","Tufted Titmouse",0.8377,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:40:00"
"Baeolophus bicolor","HH02","2022-05-17 07:45:00","5/17/2022","2022-05-17 07:45:00","5/17/2022 11:45","Tufted Titmouse",0.6669,"HH02_5/17/2022 11:40","wetland","TUTI","HH02_2022-05-17 07:45:00"
"Baeolophus bicolor","HH02","2022-05-18 07:55:00","5/18/2022","2022-05-18 07:56:00","5/18/2022 11:56","Tufted Titmouse",0.7694,"HH02_5/18/2022 11:50","wetland","TUTI","HH02_2022-05-18 07:55:00"
"Baeolophus bicolor","HH02","2022-05-18 07:55:00","5/18/2022","2022-05-18 07:56:00","5/18/2022 11:56","Tufted Titmouse",0.5365,"HH02_5/18/2022 11:50","wetland","TUTI","HH02_2022-05-18 07:55:00"
