date,site,NOBO,CACH,NOCA,NOMO,COYE,CARW,AMRO,YBCH,BHNU,BLGR,KILL,EATO,YTVI,PABU,INBU,AMCR,FICR,PIWA,BASP,TUTI,CHSP,GCFL,BGGN,EABL,EAWP,RHWO,PIWO,RBWO,WBNU,COGR,BRTH,NOFL,DOWO,BHCO,1,MODO,BLJA,REVI,SUTA,SCTA,YBCU,OROR,WEVI,LAGU,OSPR,NOPA,YTWA,ACFL,RWBL,EAKI,MIKI,RSHA,WOTH,WODU,EUST,HOFI,GRYE,CONI,SNEG,BASW,ESOW,CWWI,PRAW,BTGR,FISP,OCCR,TRES,BHVI,DEJU,ROYT,SNKI,RTHA,GBHE,YEJU,EASO,AMKE,BRSP,ATTW
06/14/2022,UP04,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,UP02,1,,1,,1,,,,,,,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH22,,,,,1,,,,,,,1,,,,,,1,1,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH17,,,1,,1,1,1,,1,,,1,,,1,,,,1,1,,,1,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH14,1,,,1,1,1,,,,1,,,,,,1,,1,1,,1,,1,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH07,,,,,1,,,,,,,,,,,1,,,1,1,,1,,1,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH05,1,,1,1,1,1,1,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH04,1,,1,,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH02,,,1,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2022,HH01,,,1,,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2022,UP01,1,,1,,1,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2022,HH34r,,,,,1,,,,,,,,,,1,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2022,HH30,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/10/2022,SP11,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,UP06,,,1,1,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,SP16,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,SP09,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,SP08,,,1,,,1,1,,,,,1,,,1,1,,1,,1,,,,,,,,1,,,,,,,,1,,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,SP07,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,SP03,,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,SP02,,,1,,1,,1,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,SP01,,,1,,,1,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,UP03,,1,1,,,,,,,,,,,,,1,,1,1,1,,,1,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,HH50,,,1,,,1,,,,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,HH49,,,1,,,,,,,,,,,,1,1,,,1,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,HH48,,,1,,1,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,HH46,,,1,,1,,,1,,1,,,,,,1,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,HH45,,,1,1,1,1,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,HH31,1,,1,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,,1,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,HH02,,,1,,1,1,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2022,UP05,,,1,1,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2022,SP09,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2022,SP08,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2022,SP03,,,1,,,1,,,,1,,,,,1,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2022,SP02,,,1,1,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/3022,UP02,1,,1,1,1,1,,,,,,,,,,,,1,1,1,,,1,,1,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2022,UP01,1,,1,,1,1,,1,,1,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2022,HH34r,1,1,1,,1,1,,1,,,,,,,1,,,1,,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2022,HH34,1,,1,,1,1,,1,,,,1,,,,,,,,1,1,1,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2022,HH33,,,1,,1,1,,1,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2022,HH14,,,1,1,,1,,,,,,,,,1,,,1,,1,,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
5/30/2022,HH13,,,1,,1,1,,1,,,,1,,,1,,,,,1,,,1,,,,,,1,,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2022,UP05,,1,1,,,1,1,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,1,,,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2022,SP11,,1,1,,,1,,,,,,1,,,1,,,1,,1,,1,1,,,1,,1,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2022,SP08,,,1,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2022,SP03,,,1,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
5/28/2022,SP02,,,1,,1,,1,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,UP04,,,1,1,1,1,,1,,1,1,,1,,,,,,1,1,,1,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
5/26/2022,HH17,,,1,,1,1,,,,1,,1,,,,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,HH07,,,,,1,1,,,,1,,1,,,1,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,HH05,,,1,,1,1,,1,,1,,1,,,,1,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,HH04,,,1,1,1,1,1,1,,,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,HH01,1,,1,1,1,1,1,1,,1,,,,,,1,,1,,1,,1,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
5/18/2022,UP02,1,,1,1,1,1,,1,,,1,,1,,1,1,,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2022,UP01,1,,1,1,1,1,1,1,,,,,,,1,1,,,,,,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
5/18/2022,HH43,1,,1,,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2022,HH34,1,,1,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2022,HH33,1,,1,,1,1,,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
5/18/2022,HH31,,1,1,,1,1,,1,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/22,HH34,,1,,,1,1,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/22,HH33,,,1,1,1,1,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/22,HH43,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/22,HH31,1,,1,,1,1,,1,,1,,1,,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
6/10/22,SP12,,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
6/10/22,SP16,,1,,,,1,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/22,SP05,,,1,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/22,HH34R,1,1,1,,1,1,,,,1,,,,,1,,,1,,1,,,1,,,,,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
5/19/22,HH45,,1,1,1,1,1,,1,,1,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,
5/19/22,HH46,,,1,1,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
5/19/22,HH48,,,1,,1,1,,1,,,,,1,,1,,,,,1,,1,1,,1,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
