"sp","occ_avg","occ_lo","occ_me","occ_hi","occ_confi"
"ACFL",0.0846743012949649,0.0613311542787294,0.08437539113864,0.106459313065238,0.1
"AMCR",0.0260008338314908,0.0186671067237523,0.025683414049245,0.034621518670832,0.1
"AMGO",0.000916824196597354,0,0.000945179584120983,0.00283553875236295,0.1
"AMKE",0.0144936422535666,0.00635580760344465,0.0141255069232385,0.0237130935647004,0.1
"AMRE",0.00906086956521739,0.00256521739130435,0.00869565217391304,0.0165652173913043,0.1
"BACS",0.033415006543551,0.0218972662498182,0.0325359895303185,0.0460675076341428,0.1
"BADO",0.167283437489728,0.135852246844009,0.168353868733733,0.19106632292629,0.1
"BAEA",0.0122758485732584,0.00527629331815271,0.0122625062264285,0.0207264818899879,0.1
"BARS",0.00144347826086957,0,0.00173913043478261,0.00439130434782607,0.1
"BBWD",0.0298145500836648,0.0192299427112101,0.0290585527125768,0.0423982222579737,0.1
"BCNH",0.00217221656730163,0,0.00206000678590471,0.00540448839125588,0.1
"BEKI",0.0186463620395567,0.00803599645471101,0.0187984563220858,0.0277096394468795,0.1
"BGGN",0.110792448532065,0.0909677462391594,0.110397889524739,0.128134980795555,0.1
"BHCO",0.0350674203867966,0.022456760053641,0.0349489441455415,0.0480491897306642,0.1
"BHNU",0.064069812471379,0.0466454825993664,0.0643074506677291,0.0803819242083983,0.1
"BLGR",0.409573290230014,0.372891176876093,0.410511405148523,0.439212058644887,0.1
"BLJA",0.0376350962935003,0.0265168258810418,0.0370908321189864,0.051520139767636,0.1
"BLVU",0.0247385380880531,0.0143518521665457,0.0249032409235807,0.037710415273501,0.1
"BNST",0.000995169082125604,0,0.000966183574879227,0.00289855072463768,0.1
"BRTH",0.0553042614700721,0.0375518720242607,0.0559094953900488,0.073348379780538,0.1
"BTGR",0.00181293488315972,0,0.0018702489643245,0.00515122873345935,0.1
"CACH",0.122307886749936,0.101526755684771,0.122477010186933,0.142149058464739,0.1
"CAEG",0.00222965440356745,0,0.00222965440356745,0.00557413600891862,0.1
"CARW",0.102321003566387,0.0836176892192676,0.102035950050782,0.122526704323779,0.1
"CEDW",0.000961538461538462,0,0.000836120401337793,0.00250836120401338,0.1
"CGDO",0.00470596432552954,0.000836120401337793,0.00445930880713489,0.0102598940914158,0.1
"CHSW",0.00239130434782609,0,0.00241545893719807,0.00546497584541062,0.1
"COGA",0.00284839319470699,0.00041304347826087,0.00275992438563327,0.0056351606805293,0.1
"COGR",0.0232656528201897,0.0131237276428675,0.0227799993537234,0.0354381735414344,0.1
"CONI",0.00173913043478261,0,0.00173913043478261,0.00521739130434783,0.1
"COYE",0.169522116912524,0.146424841894264,0.170257072739074,0.188885644197111,0.1
"CWWI",0.00956521739130435,0.00334448160535117,0.0100334448160535,0.0167224080267559,0.1
"DOWO",0.0680612748118627,0.0538902114178092,0.0672669452421424,0.0847279485212919,0.1
"EABL",0.178312160574012,0.152786831973525,0.179438833353787,0.204834797817805,0.1
"EAKI",0.0749308153958417,0.0560871476975879,0.0759279975142904,0.0929551407463818,0.1
"EAME",0.00557486454341218,0.00043940795559667,0.00558345447337122,0.0102418395665389,0.1
"EAPH",0.00309523809523809,0,0.0031055900621118,0.0062111801242236,0.1
"EATO",0.113432264553342,0.0898079992890957,0.113116588305624,0.1338063977348,0.1
"EAWP",0.203616515500014,0.179369835726348,0.203546935522524,0.228561904089363,0.1
"FICR",0.00559286510590858,0,0.00508361204013378,0.014376254180602,0.1
"FISP",0.134405328550886,0.113857634200498,0.135587869387491,0.150426771952056,0.1
"GBHE",0.0723019772602948,0.0568445205550593,0.072884246083679,0.087571301912748,0.1
"GCFL",0.301406421838215,0.273042325345275,0.300510024918449,0.333138311768541,0.1
"GRCA",0.00179347826086957,0,0.00181159420289855,0.00638586956521738,0.1
"GREG",0.02282293702647,0.0137271200758913,0.0229687007905507,0.0317097345378911,0.1
"GRHE",0.0845016716514927,0.064911578066854,0.0845657392989774,0.105546165539046,0.1
"HOFI",0.00112858464384829,0,0.000925069380203515,0.00277520814061055,0.1
"HOWA",0.129773642761355,0.106960390743472,0.129341801865431,0.152467846006126,0.1
"HOWR",0.00635066970416687,0.00285654274312119,0.00603137673080962,0.0112605221915241,0.1
"INBU",0.146968116734719,0.12666331332763,0.146857977370912,0.16745698013341,0.1
"KEWA",0.0452388396102952,0.033084011923804,0.0447687945324996,0.0565826305074887,0.1
"KILL",0.000878815911193339,0,0.000925069380203515,0.00277520814061055,0.1
"LAGU",0.0798677756679972,0.0598696806395981,0.0793454112452708,0.0998076054932688,0.1
"LBHE",0.0104367892976589,0.00347826086956522,0.0103678929765886,0.0193127090301003,0.1
"LESA",0.000999074930619796,0,0.000925069380203515,0.00277520814061055,0.1
"LOSH",0.00308587727412889,0,0.00296496596219075,0.00677998766574159,0.1
"LOWA",0.00128935532233883,0,0.00149925037481259,0.00449775112443778,0.1
"MALL",0.00204958557510542,0,0.00189035916824197,0.00540448839125588,0.1
"MIKI",0.166602321135976,0.143118766514577,0.166799447266333,0.192779095153411,0.1
"MODO",0.0416828130806392,0.0271231419546637,0.0418242023676806,0.0560915618198227,0.1
"NOBO",0.504578331284914,0.479801526423366,0.504405241976505,0.529019233010048,0.1
"NOCA",0.00161625708884688,0,0.00141776937618147,0.00427693761814744,0.1
